rooms,area,floor,price
4,55.78873429072008,7,424758.4020345523
5,181.83217188692782,7,867287.2975801878
3,97.23998411883987,4,487892.12489482627
5,69.34683618907479,1,455558.24379708536
5,120.26918556306298,1,640479.0584075679
2,139.74591135440284,4,573999.0415828266
3,54.64559051337652,4,382433.1866491721
3,91.23434873856316,6,481662.99810701294
3,54.9199811415344,7,371939.4731881946
5,113.05030837932485,9,662085.1245876715
4,184.26500435993665,9,850470.701028044
3,197.39786172403538,5,782764.6906018243
5,145.55713302554415,3,702442.1546346127
2,74.24565406768878,3,341529.78059693327
4,185.87740849989586,6,800539.9633715813
2,127.43717348000906,1,497287.04825909546
4,73.06239681543772,7,453872.61088271165
5,188.2590004177492,3,852352.4085651217
1,163.62035760846544,5,607774.7918354701
4,159.75579090847273,7,734745.3942709857
2,156.3771055691607,7,687182.2401976457
5,80.05097316446634,9,580593.4522678205
4,81.65100375612892,1,415919.43669088953
1,153.24394976408826,3,532700.776633848
1,82.95841251655953,9,390441.6411730735
3,115.80075452045733,8,588626.4524506273
3,167.3002738390912,2,665465.0584145024
2,167.59287771467615,8,657489.3762514187
4,117.98926587887894,8,606593.2821838297
4,168.82849074128677,2,710145.4900943185
3,175.79326942970852,8,743435.4242261564
4,148.21636269263905,3,646274.7339554358
4,84.26387784626303,7,504471.3045111966
1,91.10176705783212,9,429791.76428448025
3,97.2261733113103,4,522888.83512629307
5,67.5206161600928,6,531448.3913270525
3,90.97394305549176,9,545568.3563211455
5,81.42788364687982,5,568636.6126464818
1,118.29931247129032,1,435726.19562382955
2,186.26563218083973,3,680351.989966086
4,65.67204751309372,9,490538.91449895484
1,158.04018859210933,3,543605.0822149274
4,153.09245066196917,2,673799.6729275667
2,64.36312979950365,4,334793.5669081756
2,188.38586073587,5,732996.7359970857
1,135.27083032352294,7,536395.5755084469
2,104.55882817035263,7,479630.752935699
5,163.480787524296,9,831830.8310951797
2,88.60481876024511,8,456651.0481355735
4,154.02647555694807,2,698764.2876222901
4,55.95668113583709,8,409895.16432608117
4,175.91120564139078,8,780798.892826699
4,117.22562705319777,5,629359.644508077
5,145.50393715369125,3,714990.0722127974
3,83.18567297100256,9,478955.10407883325
1,151.5610568987672,7,568095.6838731506
4,165.83604138399147,1,700915.4915125606
2,120.98197803265981,8,556894.3786360888
4,142.65903860926915,5,650276.7059782883
2,118.44888857335978,6,515966.10938249837
2,184.11370538867683,9,748494.0594022906
4,124.68037707714788,8,663947.8291455813
5,176.27130635432283,3,814385.5189682258
2,170.2028087405373,5,673506.0819794626
2,111.57572320225347,4,460409.7658303026
4,84.51267377862126,1,439992.9530277399
2,110.91231988396565,5,544162.0707331598
2,173.93260636628304,7,684266.2019844932
4,84.14488037290886,1,457823.2793523624
4,128.6654518786624,4,642942.3580789343
1,170.91451219411212,6,662645.7688871924
5,103.02162126925683,9,635451.660884403
5,146.33144555040462,8,744023.9549464758
2,86.84473610732218,2,349480.3745521763
5,66.39191680522399,3,519003.4059532451
2,169.15763376392846,5,631520.2266302594
1,64.84529351130602,7,313846.9821210289
4,90.70720926193769,3,477689.50698473887
4,178.266413299616,7,768590.3419498904
4,101.97039306180008,5,548601.7953580581
5,195.95680242712416,6,874425.7406228435
1,196.96015021607897,6,683589.7400126541
5,90.2414030680335,4,610876.8366395356
5,56.14673333748357,8,509062.60261676076
1,155.75949263080685,9,630565.2158812702
1,117.64797539725156,2,443560.41526298603
1,65.11292659393644,9,332817.2567048337
1,156.12842284670643,4,547392.3095556787
4,54.67623636678818,6,430252.07439689245
3,180.5295035738363,7,765799.7799698212
3,70.79787936699556,4,388173.502671854
1,69.09678181200874,8,340536.54119769775
3,76.35084469528768,8,441394.2914184557
3,194.03995377380997,1,737833.413055409
1,153.9754040380769,8,583544.1252512973
3,170.20573031954552,3,658895.3761434921
5,109.64524785991296,5,570156.7882519347
2,100.44690912574333,8,457864.14612873754
2,85.1726010174755,6,460620.419667084
1,122.09720424686134,4,448549.5681896658
4,132.77431003012526,4,657722.1341127858
1,144.7662265479133,4,471187.551066406
4,88.56777559980418,6,500496.1751003043
2,192.2981121354486,7,713032.0959722871
1,75.46377473107037,5,321333.8239410333
5,194.84797621496185,8,975092.8156582667
3,52.22841837612557,7,388191.22870907467
4,122.16885377252684,8,688896.8746495327
3,100.00517571748442,4,483654.6089603117
3,117.36851208953762,8,616227.2706149897
1,135.59968684711833,6,568630.4782084273
3,115.33837370190635,3,523280.89444545767
5,112.22702754523925,8,653199.4648550336
3,159.908512311996,7,666780.2635112342
1,152.8814412629697,5,550917.8173244849
5,174.9906923053772,4,817019.4937961514
2,87.49384718592432,1,423255.38199150166
3,141.42927646310955,3,571913.4800369265
1,137.77921780892808,2,484829.2007692087
2,105.4606716309033,8,451024.3118579695
2,122.90863128540214,8,538056.8231352422
4,97.06732149585932,5,548986.8484228785
5,71.27665964254778,5,526644.5577448574
3,82.07018159940992,4,450936.1217892778
1,65.82704696018017,1,267416.2417027116
4,152.4604362785186,1,681891.8573379618
5,149.10910896637273,6,758470.8051241848
4,192.59095573698093,4,791576.2095612185
5,159.4517620470862,4,722063.8620492571
5,57.806875813419715,3,439753.43189682876
3,182.63677608934313,9,784544.9424414487
5,179.40127444185887,3,849552.1182549637
4,116.4980481159048,8,626979.1024688097
